date,what is eu,what is brexit,what is article 50,what is single market,is sweden in the eu,is russia in the eu
2016-01-03,4,0.5,0,0.5,5,3
2016-01-10,3,0.5,0,0.5,5,7
2016-01-17,4,0.5,0,0,5,5
2016-01-24,4,0.5,0,0.5,7,3
2016-01-31,5,0.5,0,0,5,6
2016-02-07,5,1,0,0.5,6,3
2016-02-14,8,1,0.5,0.5,9,14
2016-02-21,13,5,0.5,0.5,9,9
2016-02-28,6,3,0,0.5,7,9
2016-03-06,6,2,0,0.5,5,9
2016-03-13,6,1,0,0.5,5,6
2016-03-20,5,2,0,0.5,8,3
2016-03-27,4,2,0,0.5,0,6
2016-04-03,5,1,0,0,3,6
2016-04-10,6,1,0,0.5,6,3
2016-04-17,8,2,0.5,0.5,3,9
2016-04-24,8,2,0,0.5,6,8
2016-05-01,8,1,0,0.5,7,9
2016-05-08,9,3,0,0.5,11,16
2016-05-15,9,3,0,0.5,12,9
2016-05-22,13,6,0,0.5,11,12
2016-05-29,12,5,0.5,1,13,27
2016-06-01,5,1,0,0,0,0
2016-06-02,5,2,0,0.5,4,6
2016-06-03,5,2,0,1,0,0
2016-06-04,6,1,0,0,5,7
2016-06-05,5,4,0,0.5,0,0
2016-06-06,5,2,0,1,12,19
2016-06-07,11,4,0,0.5,4,12
2016-06-08,5,2,0,0,0,6
2016-06-09,9,4,0,1,0,6
2016-06-10,6,2,0,1,4,13
2016-06-11,6,2,0,0,0,41
2016-06-12,5,3,0,0.5,8,19
2016-06-13,4,3,0.5,0.5,4,6
2016-06-14,7,2,0,0.5,0,47
2016-06-15,5,7,0,0.5,16,12
2016-06-16,6,2,0,0.5,8,18
2016-06-17,5,2,0,0.5,4,32
2016-06-18,5,3,0,0.5,0,36
2016-06-19,7,3,0,0,14,7
2016-06-20,9,5,0,0.5,4,17
2016-06-21,19,6,0,0.5,16,36
2016-06-22,22,8,0,1,16,43
2016-06-23,42,13,0.5,0.5,8,43
2016-06-24,100,57,32,1,100,100
2016-06-25,33,25,11,2,59,41
2016-06-26,24,13,14,4,13,7
2016-06-27,16,12,11,4,12,18
2016-06-28,11,10,6,7,0,6
2016-06-29,11,8,3,6,12,12
2016-06-30,5,4,2,6,16,0
2016-07-03,7,8,2,1,9,3
2016-07-10,6,6,2,1,6,8
2016-07-17,4,4,1,1,9,12
2016-07-24,4,2,0.5,0.5,4,3
2016-07-31,4,3,0.5,0.5,4,0
2016-08-07,3,2,0.5,0.5,3,7
2016-08-14,2,2,0.5,0,0,7
2016-08-21,3,1,0.5,0.5,5,3
2016-08-28,3,1,0.5,0.5,3,8
2016-09-04,3,2,0.5,0.5,6,0
2016-09-11,4,1,0.5,0.5,8,3
2016-09-18,3,1,0.5,0.5,5,3
2016-09-25,4,2,0.5,0.5,3,6
2016-10-02,4,3,1,1,2,3
2016-10-09,4,5,1,1,4,5
2016-10-16,5,3,0.5,1,2,3
2016-10-23,4,2,0.5,1,3,6
2016-10-30,4,4,4,0.5,4,6
2016-11-06,5,5,1,0.5,2,9
2016-11-13,5,3,0.5,1,6,6
2016-11-20,5,2,0.5,1,8,6
2016-11-27,5,3,0.5,1,5,9
2016-12-04,5,3,1,1,9,6
2016-12-11,4,2,0.5,0.5,7,5
2016-12-18,3,2,0.5,0.5,4,3
2016-12-25,3,1,0.5,0.5,4,5
